date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:50	152/152	---M--	200	added ('OK')	text/plain	date:Sat,%2023%20Mar%202002%2022:38:26%20GMT	http://www.redpsy.com/robots.txt		(from )
15:41:50	249/249	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:08%20GMT	http://www.redpsy.com/	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/index.html	(from )
15:41:52	46892/46892	---MC-	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2014:41:50%20GMT	http://www.redpsy.com/index.php	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/index-2.html	(from http://www.redpsy.com/)
15:41:52	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Fri,%2015%20Oct%202004%2000:18:26%20GMT	http://www.redpsy.com/red.ico	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/red.ico	(from http://www.redpsy.com/index.php)
15:41:53	1711/1711	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2004:50:43%20GMT	http://www.redpsy.com/sept2016/menured.css	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/sept2016/menured.css	(from http://www.redpsy.com/index.php)
15:41:53	12735/12735	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:10%20GMT	http://www.redpsy.com/plan.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/plan.html	(from http://www.redpsy.com/index.php)
15:41:53	7664/7664	---M--	200	added ('OK')	text/html	date:Thu,%2009%20Nov%202006%2014:15:38%20GMT	http://www.redpsy.com/planred.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/planred.html	(from http://www.redpsy.com/index.php)
15:41:53	4692/4692	---M--	200	added ('OK')	text/html	date:Sat,%2021%20May%202005%2022:53:26%20GMT	http://www.redpsy.com/recherche.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/recherche.html	(from http://www.redpsy.com/index.php)
15:41:54	9616/9616	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202003%2022:44:46%20GMT	http://www.infopsy.com/red/bandeau/logo/a-dlogo.jpg	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/bandeau/logo/a-dlogo.jpg	(from http://www.redpsy.com/index.php)
15:41:54	1161/1161	---M--	200	added ('OK')	image/gif	date:Fri,%2003%20Jan%202003%2022:41:32%20GMT	http://www.infopsy.com/red/barmauv.gif	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.infopsy.com/red/barmauv.gif	(from http://www.redpsy.com/index.php)
15:41:54	13425/13425	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Sep%202016%2004:21:10%20GMT	http://www.redpsy.com/red.html	C:/Users/Hubert/Desktop/trash/redpsy2/redpsy/www.redpsy.com/red.html	(from http://www.redpsy.com/index.php)
